Year,ann.mean.temp,max.warm.month,ann.precip,precip.season,ELEV,SRAD_MEAN
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2017,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2017,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2017,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2017,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2017,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2017,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2021,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2021,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2021,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2021,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2021,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2021,20.93333435,29.20000076,219,85.13272858,102,19672.83398
2017,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2017,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2017,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2017,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2017,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2017,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2021,17.91250038,27.70000076,323,78.93106842,573,19225.41602
2016,21.18333244,29.29999924,209,87.13838959,62,19729.91602
2016,21.18333244,29.29999924,209,87.13838959,62,19729.91602
2016,21.18333244,29.29999924,209,87.13838959,62,19729.91602
2016,13.86250019,25.60000038,409,78.09293365,1374,20278.91602
2017,13.97916698,25.70000076,409,77.92250824,1353,20246.25
2017,13.97916698,25.70000076,409,77.92250824,1353,20246.25
2017,13.97916698,25.70000076,409,77.92250824,1353,20246.25
2017,13.97916698,25.70000076,409,77.92250824,1353,20246.25
2017,13.97916698,25.70000076,409,77.92250824,1353,20246.25
2017,13.97916698,25.70000076,409,77.92250824,1353,20246.25
2017,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2017,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2017,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2017,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2017,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2017,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2016,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2021,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2021,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2021,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2021,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2021,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2021,9.787500381,24.29999924,423,81.63182831,2308,22288.75
2017,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2017,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2017,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2017,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2017,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2017,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2021,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2021,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2021,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2021,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2021,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2021,4.504166603,19.89999962,572,66.38280487,3470,22102.33398
2017,17.78750038,25,311,78.35492706,366,18453.33398
2017,17.78750038,25,311,78.35492706,366,18453.33398
2017,17.78750038,25,311,78.35492706,366,18453.33398
2017,17.78750038,25,311,78.35492706,366,18453.33398
2017,17.78750038,25,311,78.35492706,366,18453.33398
2017,17.78750038,25,311,78.35492706,366,18453.33398
2016,21.18333244,29.29999924,209,87.13838959,62,19729.91602
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2018,7.345833302,22.5,484,74.79277802,2848,22290.33398
2016,13.86250019,25.60000038,409,78.09293365,1374,20278.91602
